FiscalYear,QTR,FiscalYearType,Account,Agency,OperatingUnit,BenefitingCountry,Category,Sector,Amount,Spent,Spent2
2010,2,Disbsmnt.,Global Health & Child Survival,U.S.A.I.D,Guatemala,Guatemala,Health,Family Planning and Reproductive Health," $926,438.93 ",926438.9300000001,926438.9300000001
2013,2,Obligations,Millennium Challenge Corporation,usaid,Worldwide,Worldwide,Program Management,Direct Administrative Costs," $(2,200.10)",-2200.1,-2200.1
2012,2,Disbursements,Development Assistance,usaid,Mexico,Mexico,Program Management,Direct Administrative Costs," $61,411.42 ",61411.42,61411.42
2011,1,Obligations,N/A,usaid,Niger,Niger,Economic Development,Agriculture," $965,780.00 ",965780,965780
2013,3,Disbursements,Gifts and Donations,U.S.A.I.D,Turkmenistan,Turkmenistan,Health,HIV/AIDS," $18,175.05 ",18175.05,18175.05
2011,4,Obligations,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",South Pacific Region,Humanitarian Assistance,Disaster Readiness," $14,648.00 ",14648,14648
2013,4,Obligations,Child Survival and Health Programs Fund,usaid,Malawi,Malawi,Program Management,Direct Administrative Costs," $478,480.00 ",478480,478480
2010,4,Obgl.,Development Credit Authority,U.S.A.I.D,Nigeria,Nigeria,Health,Family Planning and Reproductive Health," $79,250.00 ",79250,79250
2013,3,Disbursements,Economic Support Fund,usaid,Pakistan,Pakistan,"Democracy, Human Rights, and Governance",Civil Society," $6,515,952.82 ",6515952.82,6515952.82
2011,4,Obligations,Global Health & Child Survival,U.S.A.I.D,USAID East Africa Regional,East Africa Region,Health,Tuberculosis," $1,214,000.00 ",1214000,1214000
2008,2,Obligations,N/A, MCC ,Lesotho,Lesotho,multi-sector,Multi-Sector - Unspecified," $1,707,987.45 ",1707987.45,1707987.45
2010,4,Disbsmnt.,Economic Support Fund,usaid,Timor-Leste,Timor-Leste,Economic Development,Economic Opportunity," $38,474.40 ",38474.4,38474.4
2010,4,Obgl.,Operating Expenses,usaid,"Sudan, Pre-2011 Election",Worldwide,Program Management,Direct Administrative Costs," $14,036,938.76 ",14036938.76,14036938.76
2011,3,Obligations,Development Assistance,usaid,USAID Africa Regional,Africa Region,ENVIRONMENT,Clean Productive Environment," $930,146.00 ",930146,930146
2009,3,Disbursements,Development Assistance, USAID ,South Africa,South Africa,Education and Social Services,Social Services," $4,967.93 ",4967.93,4967.93
2009,4,Disbursements,Special Assistance Initiatives, USAID ,Albania,Albania,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $8,151.12 ",8151.12,8151.12
2009,3,Obligations,Operating Expenses, USAID ,"USAID Economic Growth, Education and Environment",Worldwide,Program Management,Direct Administrative Costs," $3,910,553.69 ",3910553.69,3910553.69
2012,4,Obligations,Global Health & Child Survival,usaid,Nicaragua,Nicaragua,Program Management,Direct Administrative Costs," $95,904.77 ",95904.77,95904.77
2010,1,Disbsmnt.,Operating Expenses,usaid,USAID Operating Expense,Worldwide,Program Management,Direct Administrative Costs," $2,604,963.51 ",2604963.51,2604963.51
2011,2,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,USAID Latin America and Caribbean Regional,Peru,Health,Malaria, $168.26 ,168.26,168.26
2012,2,Disbursements,Development Assistance,usaid,Ecuador,Ecuador,ENVIRONMENT,Natural Resources and Biodiversity," $1,133,084.64 ",1133084.64,1133084.64
2011,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",usaid,Serbia,Serbia,DRG,Good Governance," $1,568,000.00 ",1568000,1568000
2011,1,Disbursements,Development Assistance,usaid,Uganda,Uganda,Program Management,Direct Administrative Costs," $92,548.72 ",92548.72,92548.72
2011,2,Disbursements,N/A, MCC ,Burkina Faso,Burkina Faso,Economic Development,Infrastructure," $707,293.00 ",707293,707293
2013,2,Obligations,International Disaster Assistance,usaid,South Sudan,South Sudan,Humanitarian Assistance,"Protection, Assistance and Solutions"," $17,088,405.00 ",17088405,17088405
2011,3,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Armenia,Armenia,Peace and Security,Conflict Mitigation and Reconciliation," $276,500.50 ",276500.5,276500.5
2013,4,Disbursements,N/A,usaid,Cambodia,Cambodia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $(112,451.67)",-112451.67,-112451.67
2012,3,Disbursements,Global Health & Child Survival,U.S.A.I.D,Nepal,Nepal,Health,Family Planning and Reproductive Health," $1,442,101.91 ",1442101.91,1442101.91
2010,3,Disbsmnt.,Global Health & Child Survival,usaid,Senegal,Senegal,Program Management,Direct Administrative Costs," $208,427.38 ",208427.38,208427.38
2012,2,Disbursements,Economic Support Fund,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Guatemala,Education and Social Services,Social Services," $43,000.00 ",43000,43000
2009,4,Disbursements,N/A, MCC ,Benin,Benin,Economic Development,Agriculture," $1,072,889.15 ",1072889.15,1072889.15
2010,4,Obgl.,Economic Support Fund,usaid,Iraq,Iraq,Economic Development,Economic Opportunity," $12,000,000.00 ",12000000,12000000
2013,2,Obligations,Economic Support Fund,usaid,Kenya,Kenya,Economic Development,Agriculture," $794,288.00 ",794288,794288
2012,3,Obligations,Development Assistance,usaid,Peru,Peru,ENVIRONMENT,Natural Resources and Biodiversity," $(13,396.89)",-13396.89,-13396.89
2012,2,Disbursements,Economic Support Fund,usaid,China,China,Econ. Dev.,Economic Opportunity," $205,523.94 ",205523.94,205523.94
2011,4,Disbursements,Global Health & Child Survival,usaid,Nigeria,Nigeria,Program Management,Direct Administrative Costs," $521,753.53 ",521753.53,521753.53
2010,2,Disbsmnt.,Commodity Credit Corp Title II and III,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Zambia,Humanitarian Assistance,"Protection, Assistance and Solutions"," $1,383,562.99 ",1383562.99,1383562.99
2010,3,Obgl.,Economic Support Fund,usaid,China,East Asia Region,Program Management,Direct Administrative Costs," $70,829.02 ",70829.02,70829.02
2011,3,Disbursements,Global Health & Child Survival,U.S.A.I.D,Nigeria,Nigeria,Health,Maternal and Child Health," $2,646,154.16 ",2646154.16,2646154.16
2007,2,Disbursements,N/A, MCC ,Cape Verde,Cape Verde,multi-sector,Multi-Sector - Unspecified," $4,847,289.97 ",4847289.97,4847289.97
2011,1,Obligations,N/A,PEACE CORPS,Nicaragua,Nicaragua,,Education and Social Services - General," $501,154.12 ",501154.12,501154.12
2013,1,Disbursements,N/A,PEACE CORPS,Malawi,Malawi,,Education and Social Services - General," $1,074,589.36 ",1074589.36,1074589.36
2014,1,Disbursements,N/A, MCC ,Morocco,Morocco,Education and Social Services,Social Assistance," $68,206,185.40 ",68206185.40000001,68206185.40000001
2010,3,Disbsmnt.,Development Assistance,usaid,Mongolia,Mongolia,"Democracy, Human Rights, and Governance",Good Governance," $7,134.37 ",7134.37,7134.37
2010,4,Disbsmnt.,Global Health & Child Survival,usaid,Guatemala,Guatemala,Program Management,Direct Administrative Costs," $245,389.95 ",245389.95,245389.95
2011,1,Obligations,N/A,PEACE CORPS,Rwanda,Rwanda,,Education and Social Services - General," $1,535,529.52 ",1535529.52,1535529.52
2012,2,Disbursements,Development Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Tanzania,Education and Social Services,Higher Education," $250,563.00 ",250563,250563
2013,2,Obligations,N/A,usaid,Thailand,Thailand,Program Management,Monitoring and Evaluation," $114,220.00 ",114220,114220
2007,4,Disbursements,N/A, MCC ,Senegal,Senegal,Economic Development,Macroeconomic Foundation for Growth," $164,102.95 ",164102.95,164102.95
2012,3,Disbursements,Economic Support Fund,usaid,"Congo, Democratic Republic of","Congo, Democratic Republic of",Education and Social Services,Social Services," $1,014,545.28 ",1014545.28,1014545.28
2012,2,Disbursements,Global Health & Child Survival,U.S.A.I.D,USAID Global Health,Botswana,Health,HIV/AIDS," $29,551.36 ",29551.36,29551.36
2009,2,Disbursements,Assist. For N.I.S Of Former Soviet Union, USAID ,Tajikistan,Tajikistan,Economic Development,Financial Sector," $9,062.50 ",9062.5,9062.5
2010,4,Disbsmnt.,"Assistance for Europe, Eurasia and Central Asia",usaid,Moldova,Moldova,"Democracy, Human Rights, and Governance",Civil Society," $344,468.96 ",344468.96,344468.96
2013,1,Disbursements,N/A,usaid,Bangladesh,Bangladesh,Peace and Security,Transnational Crime," $212,305.14 ",212305.14,212305.14
2014,2,Disbursements,Global Health & Child Survival,U.S.A.I.D,Nigeria,Nigeria,Health,Maternal and Child Health," $6,826,849.44 ",6826849.44,6826849.44
2013,4,Obligations,Global Health & Child Survival,U.S.A.I.D,Mozambique,Mozambique,Health,Nutrition," $6,170,800.00 ",6170800,6170800
2012,1,Disbursements,Economic Support Fund,usaid,Mongolia,Mongolia,Program Management,Monitoring and Evaluation," $2,367.50 ",2367.5,2367.5
2012,2,Disbursements,Development Assistance,usaid,Timor-Leste,Timor-Leste,Econ. Dev.,Agriculture," $1,073,233.97 ",1073233.97,1073233.97
2013,4,Disbursements,Economic Support Fund,usaid,Nepal,Nepal,Economic Development,Private Sector Competitiveness," $758,059.99 ",758059.99,758059.99
2011,1,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Ukraine,Ukraine,Peace and Security,Combating Weapons of Mass Destruction (WMD)," $9,082,000.00 ",9082000,9082000
2010,1,Obgl.,N/A,PEACE CORPS,Ecuador,Ecuador,,Health - General," $782,655.09 ",782655.09,782655.09
2012,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",usaid,Ukraine,Ukraine,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $3,828,415.00 ",3828415,3828415
2011,3,Disbursements,Economic Support Fund,usaid,Haiti,Haiti,Program Management,Monitoring and Evaluation," $82,463.49 ",82463.49000000001,82463.49000000001
2012,4,Disbursements,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Philippines,Program Management,Direct Administrative Costs," $141,781.45 ",141781.45,141781.45
2014,2,Obligations,Economic Support Fund,usaid,Bosnia and Herzegovina,Bosnia and Herzegovina,"Democracy, Human Rights, and Governance",Good Governance," $200,000.00 ",200000,200000
2009,3,Disbursements,Development Assistance,U.S.A.I.D,USAID Operating Expense,Worldwide,Health,Water Supply and Sanitation," $2,443.81 ",2443.81,2443.81
2007,1,Disbursements,N/A, MCC ,Honduras,Honduras,Program Management,Direct Administrative Costs," $201,324.11 ",201324.11,201324.11
2009,3,Disbursements,Special Assistance Initiatives, USAID ,Kosovo,Kosovo,Economic Development,Infrastructure," $908,812.18 ",908812.1800000001,908812.1800000001
2012,2,Disbursements,"Assistance for Europe, Eurasia and Central Asia",U.S.A.I.D,Kazakhstan,Kazakhstan,Health,Family Planning and Reproductive Health," $63,800.69 ",63800.69,63800.69
2008,3,Obligations,N/A, MCC ,Lesotho,Lesotho,Program Management,Direct Administrative Costs," $(13,488.00)",-13488,-13488
2014,2,Obligations,International Disaster Assistance,usaid,Haiti,Haiti,Humanitarian Assistance,"Protection, Assistance and Solutions"," $(195,742.00)",-195742,-195742
2010,2,Disbsmnt.,N/A,U.S.A.I.D,Georgia,Georgia,Health,Water Supply and Sanitation," $3,442,583.83 ",3442583.83,3442583.83
2012,3,Disbursements,Global Health & Child Survival,U.S.A.I.D,Ukraine,Ukraine,Health,Tuberculosis," $486,864.36 ",486864.36,486864.36
2010,2,Obgl.,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",South Asia Region,Program Management,Direct Administrative Costs," $65,545.00 ",65545,65545
2011,3,Disbursements,N/A,U.S.A.I.D,Niger,Niger,Health,HIV/AIDS," $604,740.00 ",604740,604740
2010,1,Disbsmnt.,Economic Support Fund,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Kenya,Peace and Security,Conflict Mitigation and Reconciliation," $156,500.00 ",156500,156500
2013,2,Obligations,Global Health & Child Survival,U.S.A.I.D,Liberia,Liberia,Health,Malaria," $(29,176.56)",-29176.56,-29176.56
2011,1,Disbursements,Development Assistance,usaid,"USAID Economic Growth, Education and Environment",West Bank and Gaza,Program Management,Monitoring and Evaluation, $13.50 ,13.5,13.5
2012,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",usaid,Albania,Albania,Econ. Dev.,Financial Sector," $941,096.00 ",941096,941096
2011,3,Obligations,"Assistance for Europe, Eurasia and Central Asia",usaid,Bosnia and Herzegovina,Bosnia and Herzegovina,Program Management,Direct Administrative Costs," $65,543.94 ",65543.94,65543.94
2013,2,Disbursements,N/A,usaid,Lebanon,Lebanon,Education and Social Services,Higher Education," $823,443.36 ",823443.36,823443.36
2010,1,Disbsmnt.,N/A,PEACE CORPS,Uganda,Uganda,,Education and Social Services - General," $1,012,153.40 ",1012153.4,1012153.4
2013,1,Disbursements,Global Health & Child Survival,usaid,Cambodia,Cambodia,Program Management,Direct Administrative Costs," $143,863.96 ",143863.96,143863.96
2013,2,Disbursements,N/A,usaid,Kyrgyz Republic,Kyrgyz Republic,Economic Development,Agriculture," $4,406,730.90 ",4406730.9,4406730.9
2012,4,Disbursements,Development Loan Fund,usaid,Bureau for Management (USAID),Worldwide,Education and Social Services,Basic Education, $84.82 ,84.81999999999999,84.81999999999999
2013,4,Disbursements,Global Health & Child Survival,U.S.A.I.D,Uganda,Uganda,Health,Tuberculosis," $1,054,986.27 ",1054986.27,1054986.27
2013,2,Obligations,N/A,usaid,Philippines,Philippines,ENVIRONMENT,Environment," $10,341.88 ",10341.88,10341.88
2010,1,Disbsmnt.,Development Assistance,usaid,Senegal,Senegal,Economic Development,Agriculture," $2,775,508.72 ",2775508.72,2775508.72
2012,2,Disbursements,Development Assistance,usaid,Philippines,Philippines,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $(93,661.84)",-93661.84,-93661.84
2009,4,Obligations,Global Health & Child Survival,U.S.A.I.D,USAID Africa Regional,Africa Region,Health,Other Public Health Threats," $1,261,000.00 ",1261000,1261000
2013,1,Disbursements,N/A,usaid,Afghanistan,Afghanistan,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $17,035.26 ",17035.26,17035.26
2013,4,Disbursements,Economic Support Fund,usaid,El Salvador,El Salvador,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $435,000.00 ",435000,435000
2010,4,Disbsmnt.,Assist. For N.I.S Of Former Soviet Union,U.S.A.I.D,Kazakhstan,Kazakhstan,Health,Other Public Health Threats," $4,943.38 ",4943.38,4943.38
2014,1,Obligations,N/A,PEACE CORPS,Azerbaijan,Azerbaijan,,Education and Social Services - General," $175,032.68 ",175032.68,175032.68
2013,2,Disbursements,N/A,usaid,Armenia,Armenia,Economic Development,Infrastructure," $728,348.81 ",728348.8100000001,728348.8100000001
2010,3,Obgl.,Operating Expenses,usaid,Bosnia and Herzegovina,Worldwide,Program Management,Direct Administrative Costs," $1,078,774.98 ",1078774.98,1078774.98
2007,,Obligations,N/A,Treasury,International Organizations and Development Institutions (US Treasury) - African Development Bank (AfDB),I.wonder.if.Laura.will.find.this,multi-sector,International Contributions," $3,601,620.00 ",3601620,3601620
2009,4,Obligations,Development Credit Authority, USAID ,Macedonia,Macedonia,Economic Development,Private Sector Competitiveness," $83,500.00 ",83500,83500
2009,4,Disbursements,Development Assistance, USAID ,Honduras,Honduras,ENVIRONMENT,Natural Resources and Biodiversity," $1,865,069.69 ",1865069.69,1865069.69
2011,2,Obligations,Assist. For N.I.S Of Former Soviet Union,usaid,Armenia,Armenia,DRG,Civil Society," $(31,582.06)",-31582.06,-31582.06
2013,1,Obligations,N/A,usaid,Macedonia,Macedonia,Program Management,Monitoring and Evaluation," $(4,407.92)",-4407.92,-4407.92
2011,1,Disbursements,Economic Support Fund,usaid,"USAID Economic Growth, Education and Environment",Guatemala,Economic Development,Financial Sector," $22,514.85 ",22514.85,22514.85
2012,1,Disbursements,Global Health & Child Survival,U.S.A.I.D,Bangladesh,Bangladesh,Health,HIV/AIDS," $69,524.53 ",69524.53,69524.53
2010,4,Obgl.,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Guatemala,Humanitarian Assistance,"Protection, Assistance and Solutions"," $1,480,899.49 ",1480899.49,1480899.49
2013,1,Disbursements,N/A,usaid,Tanzania,Tanzania,Education and Social Services,Social Assistance," $21,688.88 ",21688.88,21688.88
2013,2,Disbursements,N/A,usaid,Tajikistan,Tajikistan,Economic Development,Private Sector Competitiveness," $280,498.18 ",280498.18,280498.18
2009,2,Disbursements,Economic Support Fund, USAID ,Cambodia,Cambodia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $2,172,994.17 ",2172994.17,2172994.17
2011,4,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Russia,Russia,Program Management,Direct Administrative Costs," $1,501,071.06 ",1501071.06,1501071.06
2012,1,Disbursements,Economic Support Fund,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Guatemala,Education and Social Services,Social Services," $25,000.00 ",25000,25000
2011,4,Obligations,Development Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Ethiopia,Education and Social Services,Social Services," $326,343.00 ",326343,326343
2013,1,Obligations,N/A,Department of Stata,Tanzania,Tanzania,,HIV/AIDS," $454,806.40 ",454806.4,454806.4
2012,2,Disbursements,Global Health & Child Survival,usaid,"Congo, Democratic Republic of","Congo, Democratic Republic of",Program Management,Monitoring and Evaluation," $8,422.76 ",8422.76,8422.76
2010,1,Disbsmnt.,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Mexico,Humanitarian Assistance,"Protection, Assistance and Solutions"," $210,972.31 ",210972.31,210972.31
2011,4,Disbursements,Development Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Honduras,Education and Social Services,Higher Education," $70,573.06 ",70573.06,70573.06
2013,1,Obligations,N/A,Department of Stata,Tajikistan,Tajikistan,,Multi-Sector - Unspecified, $590.98 ,590.98,590.98
2009,3,Obligations,Assist. For N.I.S Of Former Soviet Union, USAID ,Georgia,Georgia,Economic Development,Trade and Investment," $7,856.98 ",7856.98,7856.98
2013,1,Disbursements,Global Health & Child Survival,usaid,Nicaragua,Nicaragua,Program Management,Monitoring and Evaluation," $12,604.00 ",12604,12604
2010,4,Disbsmnt.,Development Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance","Congo, Democratic Republic of",Education and Social Services,Social Services," $111,743.88 ",111743.88,111743.88
2014,2,Obligations,N/A,PEACE CORPS,Cameroon,Cameroon,,Environment - General," $342,053.84 ",342053.84,342053.84
2013,4,Obligations,Commodity Credit Corp Title II and III,usaid,South Africa Region,South Africa Region,Economic Development,Agriculture," $1,000,000.00 ",1000000,1000000
2011,4,Disbursements,Economic Support Fund,usaid,Cuba,Colombia,Program Management,Monitoring and Evaluation," $10,030.60 ",10030.6,10030.6
2011,2,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Joint Eurasia Regional,Eurasia Region,Humanitarian Assistance,"Protection, Assistance and Solutions"," $44,463.00 ",44463,44463
2009,2,Disbursements,Development Assistance, USAID ,Philippines,Philippines,ENVIRONMENT,Natural Resources and Biodiversity," $1,463,942.05 ",1463942.05,1463942.05
2014,2,Disbursements,N/A,U.S.A.I.D,Albania,Albania,Health,Other Public Health Threats," $56,766.76 ",56766.76,56766.76
2009,3,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,"Congo, Democratic Republic of","Congo, Democratic Republic of",Health,Family Planning and Reproductive Health," $1,020,606.36 ",1020606.36,1020606.36
2012,4,Obligations,Global Health & Child Survival,usaid,Kenya,Kenya,Program Management,Direct Administrative Costs," $1,670,624.00 ",1670624,1670624
2013,0,Obligations,N/A,U.S.A.I.D,Ukraine,Ukraine,Health,HIV/AIDS," $696,000.00 ",696000,696000
2013,4,Disbursements,Global Health & Child Survival,usaid,Afghanistan,Afghanistan,Program Management,Monitoring and Evaluation," $390,161.90 ",390161.9,390161.9
2011,3,Disbursements,Global Health & Child Survival,U.S.A.I.D,Bolivia,Bolivia,Health,Maternal and Child Health," $1,217,259.35 ",1217259.35,1217259.35
2012,3,Obligations,Commodity Credit Corp Title II and III,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Sudan,Humanitarian Assistance,"Protection, Assistance and Solutions"," $391,375.76 ",391375.76,391375.76
2013,1,Disbursements,N/A,usaid,Guatemala,Guatemala,Program Management,Direct Administrative Costs," $1,048,730.88 ",1048730.88,1048730.88
2010,4,Obgl.,Economic Support Fund,U.S.A.I.D,Egypt,Egypt,Health,Other Public Health Threats," $5,000,000.00 ",5000000,5000000
2010,2,Disbsmnt.,Economic Support Fund,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Rwanda,Peace and Security,Conflict Mitigation and Reconciliation," $102,546.00 ",102546,102546
2010,4,Obgl.,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Russia,Humanitarian Assistance,"Protection, Assistance and Solutions"," $881,750.00 ",881750,881750
2012,1,Disbursements,Development Assistance,usaid,Nicaragua,Nicaragua,Program Management,Direct Administrative Costs," $309,681.47 ",309681.47,309681.47
2014,2,Disbursements,Millennium Challenge Corporation,usaid,Paraguay,Paraguay,"Democracy, Human Rights, and Governance",Good Governance," $2,065.00 ",2065,2065
2009,4,Obligations,Development Assistance, USAID ,USAID Office of Development Partners,Worldwide,Economic Development,Trade and Investment," $502,781.00 ",502781,502781
2013,2,Obligations,N/A,usaid,Mali,Mali,Economic Development,Private Sector Competitiveness," $(250,000.00)",-250000,-250000
2013,3,Disbursements,International Disaster Assistance,usaid,Mozambique,Mozambique,Humanitarian Assistance,Disaster Readiness," $264,000.00 ",264000,264000
2010,4,Obgl.,Economic Support Fund,usaid,Nepal,Nepal,ENVIRONMENT,Clean Productive Environment," $2,759,000.00 ",2759000,2759000
2012,1,Disbursements,Development Assistance,usaid,Liberia,Liberia,"Democracy, Human Rights, and Governance",Civil Society," $140,000.00 ",140000,140000
2010,1,Disbsmnt.,Development Assistance,usaid,USAID Southern Africa Regional,South Africa Region,Program Management,Monitoring and Evaluation," $70,765.95 ",70765.95,70765.95
2014,2,Disbursements,Global Health & Child Survival,usaid,Ethiopia,Ethiopia,Program Management,Monitoring and Evaluation," $161,338.63 ",161338.63,161338.63
2013,1,Obligations,Global Health & Child Survival,U.S.A.I.D,"Congo, Democratic Republic of","Congo, Democratic Republic of",Health,Tuberculosis," $4,200,000.00 ",4200000,4200000
2009,4,Disbursements,Economic Support Fund, USAID ,"USAID Democracy, Conflict and Humanitarian Assistance",Ghana,Peace and Security,Conflict Mitigation and Reconciliation," $72,485.47 ",72485.47,72485.47
2009,3,Disbursements,Assist. For N.I.S Of Former Soviet Union,U.S.A.I.D,Azerbaijan,Azerbaijan,Health,Other Public Health Threats," $393,461.83 ",393461.83,393461.83
2011,4,Obligations,Development Assistance,usaid,Burundi,Burundi,Program Management,Monitoring and Evaluation," $100,000.00 ",100000,100000
2013,1,Disbursements,Economic Support Fund,usaid,Zimbabwe,Zimbabwe,Peace and Security,Conflict Mitigation and Reconciliation," $4,475.95 ",4475.95,4475.95
2012,1,Disbursements,Development Credit Authority,usaid,Uganda,Worldwide,Program Management,Direct Administrative Costs," $6,278.66 ",6278.66,6278.66
2010,2,Obgl.,Transition Initiatives,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Peace and Security,Conflict Mitigation and Reconciliation," $(1,846.00)",-1846,-1846
2009,3,Obligations,Special Assistance Initiatives, USAID ,Macedonia,Macedonia,"Democracy, Human Rights, and Governance",Civil Society," $(675,000.00)",-675000,-675000
2013,1,Disbursements,Economic Support Fund,usaid,Indonesia,Indonesia,ENVIRONMENT,Clean Productive Environment," $85,625.00 ",85625,85625
2012,4,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,India,India,Health,Family Planning and Reproductive Health," $124,800.00 ",124800,124800
2010,4,Disbsmnt.,Child Survival and Health Programs Fund,U.S.A.I.D,India,India,Health,Family Planning and Reproductive Health," $1,002,483.32 ",1002483.32,1002483.32
2013,1,Disbursements,Economic Support Fund,usaid,Uganda,Uganda,Economic Development,Infrastructure," $1,023,114.82 ",1023114.82,1023114.82
2013,2,Disbursements,N/A,usaid,Kenya,Kenya,Program Management,Direct Administrative Costs," $364,392.34 ",364392.34,364392.34
2010,2,Disbsmnt.,Development Assistance,usaid,Swaziland,Swaziland,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $4,693.78 ",4693.78,4693.78
2012,1,Disbursements,Development Assistance,usaid,Ghana,Ghana,"Democracy, Human Rights, and Governance",Good Governance," $390,389.03 ",390389.03,390389.03
2011,2,Disbursements,Global Health & Child Survival,U.S.A.I.D,India,India,Health,Tuberculosis," $1,366,899.34 ",1366899.34,1366899.34
2012,3,Disbursements,Development Assistance,usaid,Senegal,Senegal,Peace and Security,Conflict Mitigation and Reconciliation," $38,667.36 ",38667.36,38667.36
2012,3,Disbursements,Operating Expenses,usaid,Rwanda,Worldwide,Program Management,Direct Administrative Costs," $2,439,291.47 ",2439291.47,2439291.47
2010,1,Disbsmnt.,Child Survival and Health Programs Fund,U.S.A.I.D,Madagascar,Madagascar,Health,Family Planning and Reproductive Health," $(26,986.53)",-26986.53,-26986.53
2009,4,Disbursements,Development Assistance, USAID ,Dominican Republic,Dominican Republic,Economic Development,Infrastructure, $144.41 ,144.41,144.41
