FiscalYear,QTR,FiscalYearType,Account,Agency,OperatingUnit,BenefitingCountry,Category,Sector,Amount,Spent,Spent2,notCountry
2011,3,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Armenia,Armenia,Peace And Security,Conflict Mitigation and Reconciliation," $276,500.50 ",276500.5,276500.5,0
2013,4,Disbursements,Unknown,USAID,Cambodia,Cambodia,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $(112,451.67)",-112451.67,-112451.67,0
2012,3,Disbursements,Global Health & Child Survival,USAID,Nepal,Nepal,Health,Family Planning and Reproductive Health," $1,442,101.91 ",1442101.91,1442101.91,0
2010,3,Disbursements,Global Health & Child Survival,USAID,Senegal,Senegal,Program Management,Direct Administrative Costs," $208,427.38 ",208427.38,208427.38,0
2012,2,Disbursements,Economic Support Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Guatemala,Education And Social Services,Social Services," $43,000.00 ",43000,43000,0
2009,4,Disbursements,Unknown,MCC,Benin,Benin,Economic Development,Agriculture," $1,072,889.15 ",1072889.15,1072889.15,0
2010,4,Obligations,Economic Support Fund,USAID,Iraq,Iraq,Economic Development,Economic Opportunity," $12,000,000.00 ",12000000,12000000,0
2013,2,Obligations,Economic Support Fund,USAID,Kenya,Kenya,Economic Development,Agriculture," $794,288.00 ",794288,794288,0
2012,3,Obligations,Development Assistance,USAID,Peru,Peru,Environment,Natural Resources and Biodiversity," $(13,396.89)",-13396.89,-13396.89,0
2012,2,Disbursements,Economic Support Fund,USAID,China,China,Economic Development,Economic Opportunity," $205,523.94 ",205523.94,205523.94,0
2011,4,Disbursements,Global Health & Child Survival,USAID,Nigeria,Nigeria,Program Management,Direct Administrative Costs," $521,753.53 ",521753.53,521753.53,0
2010,2,Disbursements,Commodity Credit Corp Title II and III,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Zambia,Humanitarian Assistance,"Protection, Assistance and Solutions"," $1,383,562.99 ",1383562.99,1383562.99,0
2010,3,Obligations,Economic Support Fund,USAID,China,East Asia Region,Program Management,Direct Administrative Costs," $70,829.02 ",70829.02,70829.02,1
2011,3,Disbursements,Global Health & Child Survival,USAID,Nigeria,Nigeria,Health,Maternal and Child Health," $2,646,154.16 ",2646154.16,2646154.16,0
2007,2,Disbursements,Unknown,MCC,Cape Verde,Cape Verde,Multi-Sector,Multi-Sector - Unspecified," $4,847,289.97 ",4847289.97,4847289.97,0
2011,1,Obligations,Unknown,Peace Corps,Nicaragua,Nicaragua,Missing,Education and Social Services - General," $501,154.12 ",501154.12,501154.12,0
2013,1,Disbursements,Unknown,Peace Corps,Malawi,Malawi,Missing,Education and Social Services - General," $1,074,589.36 ",1074589.36,1074589.36,0
2014,1,Disbursements,Unknown,MCC,Morocco,Morocco,Education And Social Services,Social Assistance," $68,206,185.40 ",68206185.40000001,68206185.40000001,0
2010,3,Disbursements,Development Assistance,USAID,Mongolia,Mongolia,"Democracy, Human Rights, And Governance",Good Governance," $7,134.37 ",7134.37,7134.37,0
2010,4,Disbursements,Global Health & Child Survival,USAID,Guatemala,Guatemala,Program Management,Direct Administrative Costs," $245,389.95 ",245389.95,245389.95,0
2011,1,Obligations,Unknown,Peace Corps,Rwanda,Rwanda,Missing,Education and Social Services - General," $1,535,529.52 ",1535529.52,1535529.52,0
2012,2,Disbursements,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Tanzania,Education And Social Services,Higher Education," $250,563.00 ",250563,250563,0
2013,2,Obligations,Unknown,USAID,Thailand,Thailand,Program Management,Monitoring and Evaluation," $114,220.00 ",114220,114220,0
2007,4,Disbursements,Unknown,MCC,Senegal,Senegal,Economic Development,Macroeconomic Foundation for Growth," $164,102.95 ",164102.95,164102.95,0
2012,3,Disbursements,Economic Support Fund,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of",Education And Social Services,Social Services," $1,014,545.28 ",1014545.28,1014545.28,0
2012,2,Disbursements,Global Health & Child Survival,USAID,USAID Global Health,Botswana,Health,HIV/AIDS," $29,551.36 ",29551.36,29551.36,0
2009,2,Disbursements,Assist. For N.I.S Of Former Soviet Union,USAID,Tajikistan,Tajikistan,Economic Development,Financial Sector," $9,062.50 ",9062.5,9062.5,0
2010,4,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Moldova,Moldova,"Democracy, Human Rights, And Governance",Civil Society," $344,468.96 ",344468.96,344468.96,0
2013,1,Disbursements,Unknown,USAID,Bangladesh,Bangladesh,Peace And Security,Transnational Crime," $212,305.14 ",212305.14,212305.14,0
2014,2,Disbursements,Global Health & Child Survival,USAID,Nigeria,Nigeria,Health,Maternal and Child Health," $6,826,849.44 ",6826849.44,6826849.44,0
2013,4,Obligations,Global Health & Child Survival,USAID,Mozambique,Mozambique,Health,Nutrition," $6,170,800.00 ",6170800,6170800,0
2012,1,Disbursements,Economic Support Fund,USAID,Mongolia,Mongolia,Program Management,Monitoring and Evaluation," $2,367.50 ",2367.5,2367.5,0
2012,2,Disbursements,Development Assistance,USAID,Timor-Leste,Timor-Leste,Economic Development,Agriculture," $1,073,233.97 ",1073233.97,1073233.97,0
2013,4,Disbursements,Economic Support Fund,USAID,Nepal,Nepal,Economic Development,Private Sector Competitiveness," $758,059.99 ",758059.99,758059.99,0
2011,1,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Ukraine,Ukraine,Peace And Security,Combating Weapons of Mass Destruction (WMD)," $9,082,000.00 ",9082000,9082000,0
2010,1,Obligations,Unknown,Peace Corps,Ecuador,Ecuador,Missing,Health - General," $782,655.09 ",782655.09,782655.09,0
2012,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Ukraine,Ukraine,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $3,828,415.00 ",3828415,3828415,0
2011,3,Disbursements,Economic Support Fund,USAID,Haiti,Haiti,Program Management,Monitoring and Evaluation," $82,463.49 ",82463.49000000001,82463.49000000001,0
2012,4,Disbursements,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Philippines,Program Management,Direct Administrative Costs," $141,781.45 ",141781.45,141781.45,0
2014,2,Obligations,Economic Support Fund,USAID,Bosnia and Herzegovina,Bosnia and Herzegovina,"Democracy, Human Rights, And Governance",Good Governance," $200,000.00 ",200000,200000,0
2009,3,Disbursements,Development Assistance,USAID,USAID Operating Expense,Worldwide,Health,Water Supply and Sanitation," $2,443.81 ",2443.81,2443.81,0
2007,1,Disbursements,Unknown,MCC,Honduras,Honduras,Program Management,Direct Administrative Costs," $201,324.11 ",201324.11,201324.11,0
2009,3,Disbursements,Special Assistance Initiatives,USAID,Kosovo,Kosovo,Economic Development,Infrastructure," $908,812.18 ",908812.1800000001,908812.1800000001,0
2012,2,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Kazakhstan,Kazakhstan,Health,Family Planning and Reproductive Health," $63,800.69 ",63800.69,63800.69,0
2008,3,Obligations,Unknown,MCC,Lesotho,Lesotho,Program Management,Direct Administrative Costs," $(13,488.00)",-13488,-13488,0
2014,2,Obligations,International Disaster Assistance,USAID,Haiti,Haiti,Humanitarian Assistance,"Protection, Assistance and Solutions"," $(195,742.00)",-195742,-195742,0
2010,2,Disbursements,Unknown,USAID,Georgia,Georgia,Health,Water Supply and Sanitation," $3,442,583.83 ",3442583.83,3442583.83,0
2012,3,Disbursements,Global Health & Child Survival,USAID,Ukraine,Ukraine,Health,Tuberculosis," $486,864.36 ",486864.36,486864.36,0
2010,2,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",South Asia Region,Program Management,Direct Administrative Costs," $65,545.00 ",65545,65545,1
2011,3,Disbursements,Unknown,USAID,Niger,Niger,Health,HIV/AIDS," $604,740.00 ",604740,604740,0
2010,1,Disbursements,Economic Support Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Kenya,Peace And Security,Conflict Mitigation and Reconciliation," $156,500.00 ",156500,156500,0
2013,2,Obligations,Global Health & Child Survival,USAID,Liberia,Liberia,Health,Malaria," $(29,176.56)",-29176.56,-29176.56,0
2011,1,Disbursements,Development Assistance,USAID,"USAID Economic Growth, Education and Environment",West Bank and Gaza,Program Management,Monitoring and Evaluation, $13.50 ,13.5,13.5,0
2012,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Albania,Albania,Economic Development,Financial Sector," $941,096.00 ",941096,941096,0
2011,3,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Bosnia and Herzegovina,Bosnia and Herzegovina,Program Management,Direct Administrative Costs," $65,543.94 ",65543.94,65543.94,0
2013,2,Disbursements,Unknown,USAID,Lebanon,Lebanon,Education And Social Services,Higher Education," $823,443.36 ",823443.36,823443.36,0
2010,1,Disbursements,Unknown,Peace Corps,Uganda,Uganda,Missing,Education and Social Services - General," $1,012,153.40 ",1012153.4,1012153.4,0
2013,1,Disbursements,Global Health & Child Survival,USAID,Cambodia,Cambodia,Program Management,Direct Administrative Costs," $143,863.96 ",143863.96,143863.96,0
2013,2,Disbursements,Unknown,USAID,Kyrgyz Republic,Kyrgyz Republic,Economic Development,Agriculture," $4,406,730.90 ",4406730.9,4406730.9,0
2012,4,Disbursements,Development Loan Fund,USAID,Bureau for Management (USAID),Worldwide,Education And Social Services,Basic Education, $84.82 ,84.81999999999999,84.81999999999999,0
2013,4,Disbursements,Global Health & Child Survival,USAID,Uganda,Uganda,Health,Tuberculosis," $1,054,986.27 ",1054986.27,1054986.27,0
2013,2,Obligations,Unknown,USAID,Philippines,Philippines,Environment,Environment," $10,341.88 ",10341.88,10341.88,0
2010,1,Disbursements,Development Assistance,USAID,Senegal,Senegal,Economic Development,Agriculture," $2,775,508.72 ",2775508.72,2775508.72,0
2012,2,Disbursements,Development Assistance,USAID,Philippines,Philippines,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $(93,661.84)",-93661.84,-93661.84,0
2009,4,Obligations,Global Health & Child Survival,USAID,USAID Africa Regional,Africa Region,Health,Other Public Health Threats," $1,261,000.00 ",1261000,1261000,1
2013,1,Disbursements,Unknown,USAID,Afghanistan,Afghanistan,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $17,035.26 ",17035.26,17035.26,0
2013,4,Disbursements,Economic Support Fund,USAID,El Salvador,El Salvador,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $435,000.00 ",435000,435000,0
2010,4,Disbursements,Assist. For N.I.S Of Former Soviet Union,USAID,Kazakhstan,Kazakhstan,Health,Other Public Health Threats," $4,943.38 ",4943.38,4943.38,0
2014,1,Obligations,Unknown,Peace Corps,Azerbaijan,Azerbaijan,Missing,Education and Social Services - General," $175,032.68 ",175032.68,175032.68,0
2013,2,Disbursements,Unknown,USAID,Armenia,Armenia,Economic Development,Infrastructure," $728,348.81 ",728348.8100000001,728348.8100000001,0
2010,3,Obligations,Operating Expenses,USAID,Bosnia and Herzegovina,Worldwide,Program Management,Direct Administrative Costs," $1,078,774.98 ",1078774.98,1078774.98,0
2007,,Obligations,Unknown,Treasury,International Organizations and Development Institutions (US Treasury) - African Development Bank (AfDB),N/A,Multi-Sector,International Contributions," $3,601,620.00 ",3601620,3601620,0
2009,4,Obligations,Development Credit Authority,USAID,Macedonia,Macedonia,Economic Development,Private Sector Competitiveness," $83,500.00 ",83500,83500,0
2009,4,Disbursements,Development Assistance,USAID,Honduras,Honduras,Environment,Natural Resources and Biodiversity," $1,865,069.69 ",1865069.69,1865069.69,0
2011,2,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Armenia,Armenia,"Democracy, Human Rights, And Governance",Civil Society," $(31,582.06)",-31582.06,-31582.06,0
2013,1,Obligations,Unknown,USAID,Macedonia,Macedonia,Program Management,Monitoring and Evaluation," $(4,407.92)",-4407.92,-4407.92,0
2011,1,Disbursements,Economic Support Fund,USAID,"USAID Economic Growth, Education and Environment",Guatemala,Economic Development,Financial Sector," $22,514.85 ",22514.85,22514.85,0
2012,1,Disbursements,Global Health & Child Survival,USAID,Bangladesh,Bangladesh,Health,HIV/AIDS," $69,524.53 ",69524.53,69524.53,0
2010,4,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Guatemala,Humanitarian Assistance,"Protection, Assistance and Solutions"," $1,480,899.49 ",1480899.49,1480899.49,0
2013,1,Disbursements,Unknown,USAID,Tanzania,Tanzania,Education And Social Services,Social Assistance," $21,688.88 ",21688.88,21688.88,0
2013,2,Disbursements,Unknown,USAID,Tajikistan,Tajikistan,Economic Development,Private Sector Competitiveness," $280,498.18 ",280498.18,280498.18,0
2009,2,Disbursements,Economic Support Fund,USAID,Cambodia,Cambodia,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $2,172,994.17 ",2172994.17,2172994.17,0
2011,4,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Russia,Russia,Program Management,Direct Administrative Costs," $1,501,071.06 ",1501071.06,1501071.06,0
2012,1,Disbursements,Economic Support Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Guatemala,Education And Social Services,Social Services," $25,000.00 ",25000,25000,0
2011,4,Obligations,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Ethiopia,Education And Social Services,Social Services," $326,343.00 ",326343,326343,0
2013,1,Obligations,Unknown,DOS,Tanzania,Tanzania,Missing,HIV/AIDS," $454,806.40 ",454806.4,454806.4,0
2012,2,Disbursements,Global Health & Child Survival,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of",Program Management,Monitoring and Evaluation," $8,422.76 ",8422.76,8422.76,0
2010,1,Disbursements,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Mexico,Humanitarian Assistance,"Protection, Assistance and Solutions"," $210,972.31 ",210972.31,210972.31,0
2011,4,Disbursements,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Honduras,Education And Social Services,Higher Education," $70,573.06 ",70573.06,70573.06,0
2013,1,Obligations,Unknown,DOS,Tajikistan,Tajikistan,Missing,Multi-Sector - Unspecified, $590.98 ,590.98,590.98,0
2009,3,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Georgia,Georgia,Economic Development,Trade and Investment," $7,856.98 ",7856.98,7856.98,0
2013,1,Disbursements,Global Health & Child Survival,USAID,Nicaragua,Nicaragua,Program Management,Monitoring and Evaluation," $12,604.00 ",12604,12604,0
2010,4,Disbursements,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance","Congo, Democratic Republic of",Education And Social Services,Social Services," $111,743.88 ",111743.88,111743.88,0
2014,2,Obligations,Unknown,Peace Corps,Cameroon,Cameroon,Missing,Environment - General," $342,053.84 ",342053.84,342053.84,0
2013,4,Obligations,Commodity Credit Corp Title II and III,USAID,South Africa Region,South Africa Region,Economic Development,Agriculture," $1,000,000.00 ",1000000,1000000,1
2011,4,Disbursements,Economic Support Fund,USAID,Cuba,Colombia,Program Management,Monitoring and Evaluation," $10,030.60 ",10030.6,10030.6,0
2011,2,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Joint Eurasia Regional,Eurasia Region,Humanitarian Assistance,"Protection, Assistance and Solutions"," $44,463.00 ",44463,44463,1
2009,2,Disbursements,Development Assistance,USAID,Philippines,Philippines,Environment,Natural Resources and Biodiversity," $1,463,942.05 ",1463942.05,1463942.05,0
2014,2,Disbursements,Unknown,USAID,Albania,Albania,Health,Other Public Health Threats," $56,766.76 ",56766.76,56766.76,0
2009,3,Disbursements,Child Survival and Health Programs Fund,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of",Health,Family Planning and Reproductive Health," $1,020,606.36 ",1020606.36,1020606.36,0
2012,4,Obligations,Global Health & Child Survival,USAID,Kenya,Kenya,Program Management,Direct Administrative Costs," $1,670,624.00 ",1670624,1670624,0
2013,,Obligations,Unknown,USAID,Ukraine,Ukraine,Health,HIV/AIDS," $696,000.00 ",696000,696000,0
2013,4,Disbursements,Global Health & Child Survival,USAID,Afghanistan,Afghanistan,Program Management,Monitoring and Evaluation," $390,161.90 ",390161.9,390161.9,0
2011,3,Disbursements,Global Health & Child Survival,USAID,Bolivia,Bolivia,Health,Maternal and Child Health," $1,217,259.35 ",1217259.35,1217259.35,0
2012,3,Obligations,Commodity Credit Corp Title II and III,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Sudan,Humanitarian Assistance,"Protection, Assistance and Solutions"," $391,375.76 ",391375.76,391375.76,0
2013,1,Disbursements,Unknown,USAID,Guatemala,Guatemala,Program Management,Direct Administrative Costs," $1,048,730.88 ",1048730.88,1048730.88,0
2010,4,Obligations,Economic Support Fund,USAID,Egypt,Egypt,Health,Other Public Health Threats," $5,000,000.00 ",5000000,5000000,0
2010,2,Disbursements,Economic Support Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Rwanda,Peace And Security,Conflict Mitigation and Reconciliation," $102,546.00 ",102546,102546,0
2010,4,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Russia,Humanitarian Assistance,"Protection, Assistance and Solutions"," $881,750.00 ",881750,881750,0
2012,1,Disbursements,Development Assistance,USAID,Nicaragua,Nicaragua,Program Management,Direct Administrative Costs," $309,681.47 ",309681.47,309681.47,0
2014,2,Disbursements,Millennium Challenge Corporation,USAID,Paraguay,Paraguay,"Democracy, Human Rights, And Governance",Good Governance," $2,065.00 ",2065,2065,0
2009,4,Obligations,Development Assistance,USAID,USAID Office of Development Partners,Worldwide,Economic Development,Trade and Investment," $502,781.00 ",502781,502781,0
2013,2,Obligations,Unknown,USAID,Mali,Mali,Economic Development,Private Sector Competitiveness," $(250,000.00)",-250000,-250000,0
2013,3,Disbursements,International Disaster Assistance,USAID,Mozambique,Mozambique,Humanitarian Assistance,Disaster Readiness," $264,000.00 ",264000,264000,0
2010,4,Obligations,Economic Support Fund,USAID,Nepal,Nepal,Environment,Clean Productive Environment," $2,759,000.00 ",2759000,2759000,0
2012,1,Disbursements,Development Assistance,USAID,Liberia,Liberia,"Democracy, Human Rights, And Governance",Civil Society," $140,000.00 ",140000,140000,0
2010,1,Disbursements,Development Assistance,USAID,USAID Southern Africa Regional,South Africa Region,Program Management,Monitoring and Evaluation," $70,765.95 ",70765.95,70765.95,1
2014,2,Disbursements,Global Health & Child Survival,USAID,Ethiopia,Ethiopia,Program Management,Monitoring and Evaluation," $161,338.63 ",161338.63,161338.63,0
2013,1,Obligations,Global Health & Child Survival,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of",Health,Tuberculosis," $4,200,000.00 ",4200000,4200000,0
2009,4,Disbursements,Economic Support Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Ghana,Peace And Security,Conflict Mitigation and Reconciliation," $72,485.47 ",72485.47,72485.47,0
2009,3,Disbursements,Assist. For N.I.S Of Former Soviet Union,USAID,Azerbaijan,Azerbaijan,Health,Other Public Health Threats," $393,461.83 ",393461.83,393461.83,0
2011,4,Obligations,Development Assistance,USAID,Burundi,Burundi,Program Management,Monitoring and Evaluation," $100,000.00 ",100000,100000,0
2013,1,Disbursements,Economic Support Fund,USAID,Zimbabwe,Zimbabwe,Peace And Security,Conflict Mitigation and Reconciliation," $4,475.95 ",4475.95,4475.95,0
2012,1,Disbursements,Development Credit Authority,USAID,Uganda,Worldwide,Program Management,Direct Administrative Costs," $6,278.66 ",6278.66,6278.66,0
2010,2,Obligations,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Peace And Security,Conflict Mitigation and Reconciliation," $(1,846.00)",-1846,-1846,0
2009,3,Obligations,Special Assistance Initiatives,USAID,Macedonia,Macedonia,"Democracy, Human Rights, And Governance",Civil Society," $(675,000.00)",-675000,-675000,0
2013,1,Disbursements,Economic Support Fund,USAID,Indonesia,Indonesia,Environment,Clean Productive Environment," $85,625.00 ",85625,85625,0
2012,4,Disbursements,Child Survival and Health Programs Fund,USAID,India,India,Health,Family Planning and Reproductive Health," $124,800.00 ",124800,124800,0
2010,4,Disbursements,Child Survival and Health Programs Fund,USAID,India,India,Health,Family Planning and Reproductive Health," $1,002,483.32 ",1002483.32,1002483.32,0
2013,1,Disbursements,Economic Support Fund,USAID,Uganda,Uganda,Economic Development,Infrastructure," $1,023,114.82 ",1023114.82,1023114.82,0
2013,2,Disbursements,Unknown,USAID,Kenya,Kenya,Program Management,Direct Administrative Costs," $364,392.34 ",364392.34,364392.34,0
2010,2,Disbursements,Development Assistance,USAID,Swaziland,Swaziland,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $4,693.78 ",4693.78,4693.78,0
2012,1,Disbursements,Development Assistance,USAID,Ghana,Ghana,"Democracy, Human Rights, And Governance",Good Governance," $390,389.03 ",390389.03,390389.03,0
2011,2,Disbursements,Global Health & Child Survival,USAID,India,India,Health,Tuberculosis," $1,366,899.34 ",1366899.34,1366899.34,0
2012,3,Disbursements,Development Assistance,USAID,Senegal,Senegal,Peace And Security,Conflict Mitigation and Reconciliation," $38,667.36 ",38667.36,38667.36,0
2012,3,Disbursements,Operating Expenses,USAID,Rwanda,Worldwide,Program Management,Direct Administrative Costs," $2,439,291.47 ",2439291.47,2439291.47,0
2010,1,Disbursements,Child Survival and Health Programs Fund,USAID,Madagascar,Madagascar,Health,Family Planning and Reproductive Health," $(26,986.53)",-26986.53,-26986.53,0
