Planned,,,,,,,
,,,,,,,
Fiscal Year,Fiscal Year Type,Account Name,Agency Name,Operating Unit,Category,Sector, Amount 
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Peace and Security,Combating Weapons of Mass Destruction (WMD)," $3,651,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Peace and Security,Conflict Mitigation and Reconciliation," $625,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Economic Development,Economic Opportunity," $73,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Environment,Environment," $334,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Health,Family Planning and Reproductive Health," $4,173,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Economic Development,Financial Sector," $3,014,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,"Democracy, Human Rights, and Governance",Good Governance," $5,042,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Education and Social Services,Higher Education," $424,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Health,HIV/AIDS," $105,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Economic Development,Infrastructure," $4,919,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Economic Development,Macroeconomic Foundation for Growth," $4,200,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Health,Maternal and Child Health," $3,494,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Health,Pandemic Influenza and Other Emerging Threats ," $1,124,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $4,006,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Economic Development,Private Sector Competitiveness," $4,942,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Humanitarian Assistance,"Protection, Assistance and Solutions"," $1,600,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $610,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Education and Social Services,Social Assistance," $986,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Education and Social Services,"Social Policies, Regulations, and Systems"," $2,041,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Education and Social Services,Social Services," $1,036,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Peace and Security,Stabilization Operations and Security Sector Reform," $3,000,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Economic Development,Trade and Investment," $1,944,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Health,Tuberculosis," $163,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Health,Water Supply and Sanitation," $2,605,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,Economic Development,Agriculture," $4,345,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,"Democracy, Human Rights, and Governance",Civil Society," $6,014,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,Peace and Security,Combating Weapons of Mass Destruction (WMD)," $500,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,Peace and Security,Conflict Mitigation and Reconciliation," $525,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,Health,Family Planning and Reproductive Health," $1,439,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,Economic Development,Financial Sector," $3,804,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,"Democracy, Human Rights, and Governance",Good Governance," $2,400,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,Economic Development,Macroeconomic Foundation for Growth," $5,978,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,Health,Other Public Health Threats," $2,375,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $1,711,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,Humanitarian Assistance,"Protection, Assistance and Solutions"," $926,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $1,514,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,Peace and Security,Stabilization Operations and Security Sector Reform," $2,500,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,Economic Development,Trade and Investment," $174,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Belarus,Economic Development,Agriculture," $180,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Belarus,"Democracy, Human Rights, and Governance",Civil Society," $7,107,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Belarus,Health,Family Planning and Reproductive Health," $522,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Belarus,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $2,080,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Belarus,Economic Development,Private Sector Competitiveness," $1,125,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Belarus,Humanitarian Assistance,"Protection, Assistance and Solutions"," $470,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Bosnia and Herzegovina,Economic Development,Agriculture," $51,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Bosnia and Herzegovina,"Democracy, Human Rights, and Governance",Civil Society," $5,566,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Bosnia and Herzegovina,Economic Development,Economic Opportunity," $5,774,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Bosnia and Herzegovina,Economic Development,Financial Sector," $1,613,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Bosnia and Herzegovina,"Democracy, Human Rights, and Governance",Good Governance," $4,460,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Bosnia and Herzegovina,Economic Development,Infrastructure," $850,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Bosnia and Herzegovina,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $2,680,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Bosnia and Herzegovina,Economic Development,Private Sector Competitiveness," $4,700,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Bosnia and Herzegovina,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $6,977,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Bosnia and Herzegovina,Peace and Security,Stabilization Operations and Security Sector Reform," $6,000,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Bosnia and Herzegovina,Economic Development,Trade and Investment," $399,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Bosnia and Herzegovina,Peace and Security,Transnational Crime," $530,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Bulgaria,Economic Development,Agriculture," $634,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Bulgaria,"Democracy, Human Rights, and Governance",Civil Society," $1,692,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Bulgaria,Peace and Security,Conflict Mitigation and Reconciliation," $229,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Bulgaria,Economic Development,Financial Sector," $1,684,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Bulgaria,"Democracy, Human Rights, and Governance",Good Governance," $4,250,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Bulgaria,Economic Development,Infrastructure," $200,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Bulgaria,Economic Development,Macroeconomic Foundation for Growth," $436,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Bulgaria,Economic Development,Private Sector Competitiveness," $3,606,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Bulgaria,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $6,574,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Bulgaria,Economic Development,Trade and Investment," $650,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Bulgaria,Peace and Security,Transnational Crime," $145,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Central Asia Regional Office (USAID),Economic Development,Agriculture," $473,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Central Asia Regional Office (USAID),Health,Family Planning and Reproductive Health," $99,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Central Asia Regional Office (USAID),Economic Development,Financial Sector," $82,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Central Asia Regional Office (USAID),Health,HIV/AIDS," $33,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Central Asia Regional Office (USAID),Economic Development,Infrastructure," $348,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Central Asia Regional Office (USAID),Health,Maternal and Child Health," $265,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Central Asia Regional Office (USAID),Health,Other Public Health Threats," $165,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Central Asia Regional Office (USAID),Health,Tuberculosis," $238,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Croatia,Economic Development,Agriculture," $2,658,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Croatia,"Democracy, Human Rights, and Governance",Civil Society," $2,144,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Croatia,"Democracy, Human Rights, and Governance",Good Governance," $3,836,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Croatia,Economic Development,Private Sector Competitiveness," $5,350,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Croatia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $862,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),"Democracy, Human Rights, and Governance",Civil Society," $2,549,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Peace and Security,Combating Weapons of Mass Destruction (WMD)," $198,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Peace and Security,Conflict Mitigation and Reconciliation," $13,880,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Peace and Security,Counterterrorism," $495,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Environment,Environment," $281,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Health,Family Planning and Reproductive Health," $571,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Economic Development,Financial Sector," $935,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),"Democracy, Human Rights, and Governance",Good Governance," $159,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Education and Social Services,Higher Education," $2,475,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Health,HIV/AIDS," $1,355,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Economic Development,Infrastructure," $1,863,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Economic Development,Macroeconomic Foundation for Growth," $263,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Health,Maternal and Child Health," $501,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Health,Other Public Health Threats," $2,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $2,375,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Economic Development,Private Sector Competitiveness," $709,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Humanitarian Assistance,"Protection, Assistance and Solutions"," $6,064,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $106,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Education and Social Services,"Social Policies, Regulations, and Systems"," $1,028,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Peace and Security,Stabilization Operations and Security Sector Reform," $3,369,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Economic Development,Trade and Investment," $3,574,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Peace and Security,Transnational Crime," $387,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Health,Tuberculosis," $373,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Health,Water Supply and Sanitation," $687,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe Regional Office (DOS & USAID),"Democracy, Human Rights, and Governance",Civil Society," $9,149,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe Regional Office (DOS & USAID),Peace and Security,Conflict Mitigation and Reconciliation," $16,186,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe Regional Office (DOS & USAID),Environment,Environment," $39,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe Regional Office (DOS & USAID),Health,Family Planning and Reproductive Health," $118,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe Regional Office (DOS & USAID),Economic Development,Financial Sector," $533,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe Regional Office (DOS & USAID),"Democracy, Human Rights, and Governance",Good Governance," $181,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe Regional Office (DOS & USAID),Education and Social Services,Higher Education," $1,535,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe Regional Office (DOS & USAID),Health,HIV/AIDS," $364,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe Regional Office (DOS & USAID),Economic Development,Infrastructure," $1,998,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe Regional Office (DOS & USAID),Economic Development,Macroeconomic Foundation for Growth," $236,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe Regional Office (DOS & USAID),Health,Maternal and Child Health," $146,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe Regional Office (DOS & USAID),Health,Other Public Health Threats," $69,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe Regional Office (DOS & USAID),"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $1,407,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe Regional Office (DOS & USAID),Economic Development,Private Sector Competitiveness," $2,273,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe Regional Office (DOS & USAID),"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $1,853,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe Regional Office (DOS & USAID),Education and Social Services,"Social Policies, Regulations, and Systems"," $95,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe Regional Office (DOS & USAID),Peace and Security,Stabilization Operations and Security Sector Reform," $990,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe Regional Office (DOS & USAID),Peace and Security,Transnational Crime," $3,306,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe Regional Office (DOS & USAID),Health,Tuberculosis," $120,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe Regional Office (DOS & USAID),Health,Water Supply and Sanitation," $242,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,Economic Development,Agriculture," $6,805,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,Education and Social Services,Basic Education," $1,263,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,"Democracy, Human Rights, and Governance",Civil Society," $5,341,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,Peace and Security,Combating Weapons of Mass Destruction (WMD)," $864,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,Peace and Security,Conflict Mitigation and Reconciliation," $2,522,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,Economic Development,Economic Opportunity," $2,802,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,Environment,Environment," $399,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,Health,Family Planning and Reproductive Health," $725,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,Economic Development,Financial Sector," $820,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,"Democracy, Human Rights, and Governance",Good Governance," $6,810,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,Education and Social Services,Higher Education," $642,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,Health,HIV/AIDS," $1,441,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,Economic Development,Infrastructure," $5,554,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,Economic Development,Macroeconomic Foundation for Growth," $1,820,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,Health,Maternal and Child Health," $1,565,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,Health,Other Public Health Threats," $1,647,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $523,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,Economic Development,Private Sector Competitiveness," $2,314,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,Humanitarian Assistance,"Protection, Assistance and Solutions"," $1,980,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $2,760,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,Peace and Security,Stabilization Operations and Security Sector Reform," $15,075,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,Economic Development,Trade and Investment," $1,831,000.00 "
