FiscalYear,QTR,FiscalYearType,Account,Agency,OperatingUnit,BenefitingCountry,Category,Sector,Amount,Spent,Spent2
2012,4,Disbursements,Development Assistance,usaid,Mauritania,Mauritania,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $40,438.00 ",40438,40438
2011,3,Obligations,N/A,usaid,Mali,Mali,Humanitarian Assistance,Disaster Readiness," $39,950.00 ",39950,39950
2013,2,Disbursements,Gifts and Donations,usaid,Turkmenistan,Turkmenistan,Economic Development,Agriculture," $103,629.53 ",103629.53,103629.53
2011,1,Obligations,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",South Africa,Program Management,Direct Administrative Costs," $24,088.00 ",24088,24088
2013,1,Obligations,Child Survival and Health Programs Fund,usaid,Malawi,Malawi,Program Management,Direct Administrative Costs," $(466,299.94)",-466299.94,-466299.94
2010,1,Obgl.,Development Credit Authority,usaid,Mozambique,Mozambique,Economic Development,Private Sector Competitiveness," $307,746.00 ",307746,307746
2013,2,Disbursements,Economic Support Fund,usaid,Pakistan,Pakistan,Economic Development,Agriculture," $13,772,971.92 ",13772971.92,13772971.92
2011,4,Obligations,Global Health & Child Survival,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Education and Social Services,Social Services," $1,490,205.00 ",1490205,1490205
2008,40,Obligations,N/A,MCC,Lesotho,Lesotho,Program Management,Direct Administrative Costs," $34,321,488.00 ",34321488,34321488
2010,1,Disbsmnt.,Economic Support Fund,usaid,Timor-Leste,Timor-Leste,Economic Development,Economic Opportunity," $81,036.67 ",81036.67,81036.67
2010,1,Obgl.,Operating Expenses,usaid,"Sudan, Pre-2011 Election",Worldwide,Program Management,Direct Administrative Costs," $1,486,215.88 ",1486215.88,1486215.88
2011,2,Obligations,Development Assistance,usaid,USAID Africa Regional,Africa Region,Education and Social Services,Basic Education, $(136.71),-136.71,-136.71
2009,2,Disbursements,Development Assistance, USAID,South Africa,South Africa,Education and Social Services,Social Assistance," $2,811.82 ",2811.82,2811.82
2009,4,Disbursements,Special Assistance Initiatives, USAID,Albania,Albania,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $121,711.77 ",121711.77,121711.77
2009,3,Obligations,Operating Expenses, USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Program Management,Direct Administrative Costs," $17,982,425.38 ",17982425.38,17982425.38
2012,4,Obligations,Global Health & Child Survival,U.S.A.I.D,Nepal,Nepal,Health,Nutrition," $6,200,000.00 ",6200000,6200000
2010,4,Disbsmnt.,Operating Expenses,usaid,USAID Office of Development Partners,Worldwide,Program Management,Direct Administrative Costs," $1,929,732.82 ",1929732.82,1929732.82
2011,3,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,USAID Global Health,Worldwide,Health,Tuberculosis," $94,626.72 ",94626.72,94626.72
2012,2,Disbursements,Development Assistance,usaid,Ecuador,Ecuador,Program Management,Monitoring and Evaluation," $11,617.66 ",11617.66,11617.66
2011,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",usaid,Serbia,Serbia,Economic Development,Agriculture," $2,617,000.00 ",2617000,2617000
2011,3,Disbursements,Development Assistance,usaid,Uganda,Uganda,DRG,Civil Society," $2,337.92 ",2337.92,2337.92
2011,3,Disbursements,N/A,MCC,Burkina Faso,Burkina Faso,Program Management,Direct Administrative Costs," $2,276,452.76 ",2276452.76,2276452.76
2013,2,Obligations,International Disaster Assistance,usaid,South Sudan,South Sudan,Program Management,Direct Administrative Costs," $308,063.16 ",308063.16,308063.16
2011,3,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Albania,Albania,Economic Development,Infrastructure," $159,138.10 ",159138.1,159138.1
2013,1,Disbursements,N/A,usaid,Cambodia,Cambodia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $1,192,247.86 ",1192247.86,1192247.86
2012,1,Disbursements,Global Health & Child Survival,U.S.A.I.D,Mozambique,Mozambique,Health,Tuberculosis, $217.65 ,217.65,217.65
2010,4,Disbsmnt.,Global Health & Child Survival,usaid,Rwanda,Rwanda,Program Management,Monitoring and Evaluation," $334,536.32 ",334536.32,334536.32
2012,2,Disbursements,Economic Support Fund,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Ethiopia,Education and Social Services,Social Services," $63,274.00 ",63274,63274
2009,1,Disbursements,N/A,MCC,Benin,Benin,Economic Development,Agriculture," $1,171,818.51 ",1171818.51,1171818.51
2010,4,Obgl.,Economic Support Fund,usaid,Iraq,Iraq,Economic Development,Agriculture," $20,800,000.00 ",20800000,20800000
2013,4,Obligations,Economic Support Fund,usaid,Kazakhstan,Kazakhstan,"Democracy, Human Rights, and Governance",Civil Society," $200,000.00 ",200000,200000
2012,4,Obligations,Development Assistance,usaid,Peru,Peru,ENVIRONMENT,Clean Productive Environment," $6,749,311.00 ",6749311,6749311
2012,3,Disbursements,Economic Support Fund,usaid,Chad,Chad,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $958,249.05 ",958249.0500000001,958249.0500000001
2011,1,Disbursements,Global Health & Child Survival,usaid,Nigeria,Nigeria,Program Management,Direct Administrative Costs," $184,842.01 ",184842.01,184842.01
2010,3,Disbsmnt.,Commodity Credit Corp Title II and III,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Uzbekistan,Humanitarian Assistance,"Protection, Assistance and Solutions"," $115,000.00 ",115000,115000
2010,4,Obgl.,Economic Support Fund,usaid,China,China,Education and Social Services,Higher Education," $100,000.00 ",100000,100000
2011,2,Disbursements,Global Health & Child Survival,U.S.A.I.D,Nicaragua,Nicaragua,Health,Maternal and Child Health," $654,918.11 ",654918.11,654918.11
2007,2,Disbursements,N/A,MCC,Cape Verde,Cape Verde,Economic Development,Infrastructure," $(3,981,874.00)",-3981874,-3981874
2011,1,Obligations,N/A,PEACE CORPS,Namibia,Namibia,,Education and Social Services - General," $2,072,236.36 ",2072236.36,2072236.36
2013,1,Disbursements,N/A,PEACE CORPS,Madagascar,Madagascar,,Health - General," $430,894.80 ",430894.8,430894.8
2014,2,Disbursements,N/A,MCC,Morocco,Morocco,Economic Development,Private Sector Competitiveness," $(323,056.34)",-323056.34,-323056.34
2010,4,Disbsmnt.,Development Assistance,usaid,Mongolia,Mongolia,Program Management,Direct Administrative Costs," $64,208.00 ",64208,64208
2010,1,Disbsmnt.,Global Health & Child Survival,usaid,Guatemala,Guatemala,Program Management,Direct Administrative Costs," $199,313.24 ",199313.24,199313.24
2011,1,Obligations,N/A,PEACE CORPS,Peru,Peru,,Multi-Sector - Unspecified," $44,063.77 ",44063.77,44063.77
2012,2,Disbursements,Development Assistance,U.S.A.I.D,"USAID Democracy, Conflict and Humanitarian Assistance",Taiwan,Health,Other Public Health Threats," $66,710.24 ",66710.24000000001,66710.24000000001
2013,4,Obligations,N/A,usaid,Tanzania,Tanzania,Education and Social Services,Social Assistance," $23,500.00 ",23500,23500
2007,1,Disbursements,N/A,MCC,Senegal,Senegal,Economic Development,Macroeconomic Foundation for Growth," $653,835.24 ",653835.24,653835.24
2012,2,Disbursements,Economic Support Fund,usaid,"Congo, Democratic Republic of","Congo, Democratic Republic of","Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $294,231.96 ",294231.96,294231.96
2012,1,Disbursements,Global Health & Child Survival,U.S.A.I.D,USAID Global Health,Bangladesh,Health,Maternal and Child Health," $7,770.00 ",7770,7770
2009,1,Disbursements,Assist. For N.I.S Of Former Soviet Union,U.S.A.I.D,Tajikistan,Tajikistan,Health,Family Planning and Reproductive Health," $2,881.01 ",2881.01,2881.01
2010,4,Disbsmnt.,"Assistance for Europe, Eurasia and Central Asia",usaid,Macedonia,Macedonia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $30,814.38 ",30814.38,30814.38
2013,4,Disbursements,N/A,usaid,Bangladesh,Bangladesh,ENVIRONMENT,Natural Resources and Biodiversity," $2,239,116.55 ",2239116.55,2239116.55
2014,2,Disbursements,Global Health & Child Survival,U.S.A.I.D,Namibia,Namibia,Health,HIV/AIDS," $8,891,533.85 ",8891533.85,8891533.85
2013,3,Obligations,Global Health & Child Survival,U.S.A.I.D,Mozambique,Mozambique,Health,Maternal and Child Health," $2,426,695.00 ",2426695,2426695
2012,3,Disbursements,Economic Support Fund,usaid,Mexico,Mexico,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $5,288,543.07 ",5288543.07,5288543.07
2012,4,Disbursements,Development Assistance,usaid,Tanzania,Tanzania,Econ. Dev.,Private Sector Competitiveness," $1,120,333.78 ",1120333.78,1120333.78
2013,1,Disbursements,Economic Support Fund,usaid,Nepal,Nepal,Economic Development,Private Sector Competitiveness," $453,553.65 ",453553.65,453553.65
2011,3,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Ukraine,Ukraine,Economic Development,Agriculture," $330,785.25 ",330785.25,330785.25
2010,1,Obgl.,N/A,PEACE CORPS,China,China,,Education and Social Services - General," $1,773,096.19 ",1773096.19,1773096.19
2012,2,Obligations,"Assistance for Europe, Eurasia and Central Asia",usaid,Ukraine,Ukraine,Econ. Dev.,Private Sector Competitiveness," $1,426,011.00 ",1426011,1426011
2011,2,Disbursements,Economic Support Fund,usaid,Haiti,Haiti,DRG,Good Governance," $1,309,883.04 ",1309883.04,1309883.04
2012,1,Disbursements,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Philippines,Program Management,Direct Administrative Costs," $15,988.20 ",15988.2,15988.2
2014,2,Obligations,Economic Support Fund,usaid,Azerbaijan,Azerbaijan,Economic Development,Trade and Investment," $500,000.00 ",500000,500000
2009,1,Disbursements,Development Assistance, USAID,USAID Operating Expense,Worldwide,Economic Development,Trade and Investment, $282.41 ,282.41,282.41
2007,40,Disbursements,N/A,MCC,Ghana,Ghana,Economic Development,Economic Opportunity," $6,310.00 ",6310,6310
2009,1,Disbursements,Operating Expenses, USAID,USAID Global Health,Worldwide,Program Management,Direct Administrative Costs," $5,231,048.32 ",5231048.32,5231048.32
2012,2,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Joint Eurasia Regional,Eurasia Region,Econ. Dev.,Infrastructure," $739,964.56 ",739964.5600000001,739964.5600000001
2009,3,Obligations,Assist. For N.I.S Of Former Soviet Union, USAID,Azerbaijan,Azerbaijan,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $1,161,151.00 ",1161151,1161151
2014,2,Obligations,International Disaster Assistance,usaid,Ethiopia,Ethiopia,Humanitarian Assistance,"Protection, Assistance and Solutions"," $4,247,651.78 ",4247651.78,4247651.78
2010,3,Disbsmnt.,N/A,MCC,Georgia,Georgia,multi-sector,Multi-Sector - Unspecified," $6,543,726.10 ",6543726.1,6543726.1
2012,3,Disbursements,Global Health & Child Survival,U.S.A.I.D,Uganda,Uganda,Health,Family Planning and Reproductive Health," $3,686,320.03 ",3686320.03,3686320.03
2010,4,Obgl.,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",South Africa,Humanitarian Assistance,Disaster Readiness," $34,870.00 ",34870,34870
2011,2,Disbursements,N/A,usaid,Niger,Niger,DRG,Civil Society," $130,180.00 ",130180,130180
2010,1,Disbsmnt.,Economic Support Fund,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",India,Education and Social Services,Social Services," $22,800.51 ",22800.51,22800.51
2013,2,Obligations,Global Health & Child Survival,usaid,Liberia,Liberia,Program Management,Direct Administrative Costs," $708,036.31 ",708036.3100000001,708036.3100000001
2011,2,Disbursements,Development Assistance,usaid,"USAID Economic Growth, Education and Environment",Afghanistan,Economic Development,Economic Opportunity," $280,062.22 ",280062.22,280062.22
2012,3,Obligations,"Assistance for Europe, Eurasia and Central Asia",usaid,Albania,Albania,Program Management,Direct Administrative Costs," $(19,739.94)",-19739.94,-19739.94
2011,3,Obligations,"Assistance for Europe, Eurasia and Central Asia",usaid,Bosnia and Herzegovina,Bosnia and Herzegovina,DRG,Civil Society," $1,580,596.70 ",1580596.7,1580596.7
2013,4,Disbursements,N/A,usaid,Lebanon,Lebanon,Program Management,Direct Administrative Costs," $22,396.41 ",22396.41,22396.41
2010,1,Disbsmnt.,N/A,PEACE CORPS,Tanzania,Tanzania,,Health - General," $503,033.65 ",503033.65,503033.65
2013,3,Disbursements,Global Health & Child Survival,usaid,Burundi,Burundi,Program Management,Monitoring and Evaluation," $94,651.52 ",94651.52,94651.52
2013,4,Disbursements,N/A,U.S.A.I.D,Kosovo,Kosovo,Health,Water Supply and Sanitation," $130,968.77 ",130968.77,130968.77
2012,3,Disbursements,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Benin,Humanitarian Assistance,"Protection, Assistance and Solutions"," $33,687.84 ",33687.84,33687.84
2013,3,Disbursements,Global Health & Child Survival,U.S.A.I.D,Uganda,Uganda,Health,HIV/AIDS," $30,724,492.12 ",30724492.12,30724492.12
2013,4,Obligations,N/A,usaid,Philippines,Philippines,Program Management,Direct Administrative Costs," $1,155,481.09 ",1155481.09,1155481.09
2010,4,Disbsmnt.,Development Assistance,usaid,Rwanda,Rwanda,Program Management,Direct Administrative Costs," $124,376.08 ",124376.08,124376.08
2012,4,Disbursements,Development Assistance,usaid,Philippines,Philippines,ENVIRONMENT,Natural Resources and Biodiversity," $1,633,519.40 ",1633519.4,1633519.4
2009,3,Obligations,Global Health & Child Survival,U.S.A.I.D,USAID Africa Regional,Africa Region,Health,Family Planning and Reproductive Health," $500,000.00 ",500000,500000
2013,3,Disbursements,N/A,usaid,Afghanistan,Afghanistan,Economic Development,Private Sector Competitiveness," $1,295.35 ",1295.35,1295.35
2013,1,Disbursements,Economic Support Fund,usaid,El Salvador,El Salvador,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $63,679.34 ",63679.34,63679.34
2010,1,Disbsmnt.,Assist. For N.I.S Of Former Soviet Union,U.S.A.I.D,Kazakhstan,Kazakhstan,Health,Other Public Health Threats," $2,926.66 ",2926.66,2926.66
2014,2,Obligations,N/A,PEACE CORPS,Albania,Albania,,Economic Development - General," $144,411.44 ",144411.44,144411.44
2013,3,Disbursements,N/A,usaid,Armenia,Armenia,Education and Social Services,Higher Education," $16,381.92 ",16381.92,16381.92
2010,3,Obgl.,Operating Expenses,usaid,Bangladesh,Worldwide,Program Management,Direct Administrative Costs," $1,631,755.95 ",1631755.95,1631755.95
2007,1,Obligations,N/A,MCC,Timor-Leste,Timor-Leste,multi-sector,Multi-Sector - Unspecified," $62,654.83 ",62654.83,62654.83
2009,4,Obligations,Development Credit Authority, USAID,Haiti,Haiti,Economic Development,Financial Sector," $1,119,750.00 ",1119750,1119750
2009,1,Disbursements,Development Assistance, USAID,Honduras,Honduras,ENVIRONMENT,Natural Resources and Biodiversity," $524,492.78 ",524492.78,524492.78
2011,2,Obligations,N/A,usaid,Zimbabwe,Zimbabwe,Humanitarian Assistance,"Protection, Assistance and Solutions"," $4,940,300.00 ",4940300,4940300
2013,3,Obligations,N/A,usaid,Macedonia,Macedonia,ENVIRONMENT,Clean Productive Environment," $1,207,758.00 ",1207758,1207758
2011,4,Disbursements,Economic Support Fund,usaid,USAID East Africa Regional,East Africa Region,Peace and Security,Counterterrorism," $534,076.34 ",534076.34,534076.34
2012,4,Disbursements,Global Health & Child Survival,usaid,Bangladesh,Bangladesh,Program Management,Direct Administrative Costs," $635,188.70 ",635188.7,635188.7
2010,3,Obgl.,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Greece,Humanitarian Assistance,"Protection, Assistance and Solutions"," $(4,275.54)",-4275.54,-4275.54
2013,3,Disbursements,N/A,usaid,Tanzania,Tanzania,ENVIRONMENT,Natural Resources and Biodiversity," $1,663,137.50 ",1663137.5,1663137.5
2013,4,Disbursements,N/A,U.S.A.I.D,Tajikistan,Tajikistan,Health,Other Public Health Threats," $88,406.82 ",88406.82000000001,88406.82000000001
2009,1,Disbursements,Economic Support Fund, USAID,Cambodia,Cambodia,Economic Development,Private Sector Competitiveness," $18,166.28 ",18166.28,18166.28
2011,3,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Russia,Russia,DRG,Civil Society," $2,165,102.25 ",2165102.25,2165102.25
2012,2,Disbursements,Economic Support Fund,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Egypt,Education and Social Services,Social Services," $29,381.20 ",29381.2,29381.2
2011,4,Obligations,Development Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Egypt,Education and Social Services,Higher Education," $800,000.00 ",800000,800000
2013,3,Obligations,N/A,Department of Stata,State Near East Regional/Middle East Partnership Initiative,State Near East Regional/Middle East Partnership Initiative,,Multi-Sector - Unspecified," $3,345.67 ",3345.67,3345.67
2012,2,Disbursements,Global Health & Child Survival,U.S.A.I.D,"Congo, Democratic Republic of","Congo, Democratic Republic of",Health,Malaria," $3,605,377.65 ",3605377.65,3605377.65
2010,2,Disbsmnt.,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Mali,Humanitarian Assistance,"Protection, Assistance and Solutions"," $261,081.12 ",261081.12,261081.12
2011,4,Disbursements,Development Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Haiti,Humanitarian Assistance,"Protection, Assistance and Solutions"," $295,974.19 ",295974.19,295974.19
2013,2,Obligations,N/A,Department of Stata,Jamaica,Jamaica,,Multi-Sector - Unspecified," $37,134.53 ",37134.53,37134.53
2009,2,Obligations,Assist. For N.I.S Of Former Soviet Union, USAID,Georgia,Georgia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $7,377.00 ",7377,7377
2013,4,Disbursements,Global Health & Child Survival,U.S.A.I.D,Nicaragua,Nicaragua,Health,HIV/AIDS," $34,158.98 ",34158.98,34158.98
2010,1,Disbsmnt.,Development Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance","Congo, Democratic Republic of",Peace and Security,Conflict Mitigation and Reconciliation," $199,881.64 ",199881.64,199881.64
2014,2,Obligations,N/A,PEACE CORPS,Bulgaria,Bulgaria,,Education and Social Services - General, $(0.48),-.48,-.48
2013,2,Obligations,Commodity Credit Corp Title II and III,usaid,Somalia,Somalia,Humanitarian Assistance,"Protection, Assistance and Solutions"," $3,892,603.00 ",3892603,3892603
2011,3,Disbursements,Economic Support Fund,usaid,"Congo, Democratic Republic of","Congo, Democratic Republic of",Program Management,Direct Administrative Costs," $353,802.22 ",353802.22,353802.22
2011,3,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Joint Eurasia Regional,Eurasia Region,Program Management,Monitoring and Evaluation," $255,749.87 ",255749.87,255749.87
2009,3,Disbursements,Development Assistance, USAID,Philippines,Philippines,"Democracy, Human Rights, and Governance",Good Governance," $540,540.20 ",540540.2,540540.2
2014,2,Disbursements,N/A,usaid,Albania,Albania,Economic Development,Infrastructure," $500,387.80 ",500387.8,500387.8
2009,4,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,China,China,Health,HIV/AIDS," $91,315.23 ",91315.23,91315.23
2012,1,Obligations,Global Health & Child Survival,U.S.A.I.D,Indonesia,Indonesia,Health,HIV/AIDS, $(0.12),-.12,-.12
2013,0,Obligations,N/A,U.S.A.I.D,Uganda,Uganda,Health,HIV/AIDS," $10,836,193.00 ",10836193,10836193
2013,1,Disbursements,Global Health & Child Survival,usaid,Afghanistan,Afghanistan,Program Management,Monitoring and Evaluation," $315,489.03 ",315489.03,315489.03
2011,3,Disbursements,Global Health & Child Survival,U.S.A.I.D,Bolivia,Bolivia,Health,Family Planning and Reproductive Health," $1,618,325.71 ",1618325.71,1618325.71
2012,4,Obligations,Commodity Credit Corp Title II and III,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",South Africa,Humanitarian Assistance,"Protection, Assistance and Solutions"," $115,491.66 ",115491.66,115491.66
2013,4,Disbursements,N/A,usaid,Guatemala,Guatemala,Education and Social Services,Basic Education," $2,072,227.81 ",2072227.81,2072227.81
2010,1,Obgl.,Economic Support Fund,U.S.A.I.D,Egypt,Egypt,Health,Other Public Health Threats," $2,910,000.00 ",2910000,2910000
2010,2,Disbsmnt.,Economic Support Fund,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Morocco,Peace and Security,Conflict Mitigation and Reconciliation," $56,916.61 ",56916.61,56916.61
2010,4,Obgl.,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Philippines,Program Management,Direct Administrative Costs," $53,402.75 ",53402.75,53402.75
2012,2,Disbursements,Development Assistance,usaid,Nicaragua,Nicaragua,"Democracy, Human Rights, and Governance",Civil Society," $573,117.30 ",573117.3000000001,573117.3000000001
2014,2,Disbursements,International Disaster Assistance,usaid,Worldwide,Worldwide,Humanitarian Assistance,"Protection, Assistance and Solutions"," $7,931,915.63 ",7931915.63,7931915.63
2009,3,Obligations,Development Assistance, USAID,USAID Office of Development Partners,Worldwide,Program Management,Monitoring and Evaluation," $9,696.00 ",9696,9696
2013,4,Obligations,N/A,usaid,Mali,Mali,"Democracy, Human Rights, and Governance",Civil Society," $75,000.00 ",75000,75000
2013,4,Disbursements,International Disaster Assistance,usaid,Marshall Islands,Marshall Islands,Humanitarian Assistance,"Protection, Assistance and Solutions"," $1,226,891.09 ",1226891.09,1226891.09
2010,4,Obgl.,Economic Support Fund,usaid,Near East Regional,Near East Region,"Democracy, Human Rights, and Governance",Civil Society," $9,670,393.00 ",9670393,9670393
2012,4,Disbursements,Development Assistance,usaid,Liberia,Liberia,Education and Social Services,Basic Education," $211,978.79 ",211978.79,211978.79
2010,3,Disbsmnt.,Development Assistance,usaid,USAID Southern Africa Regional,South Africa Region,Economic Development,Infrastructure," $58,197.11 ",58197.11,58197.11
2014,2,Disbursements,Global Health & Child Survival,U.S.A.I.D,Ethiopia,Ethiopia,Health,Malaria," $4,601,888.94 ",4601888.94,4601888.94
2013,3,Obligations,Global Health & Child Survival,U.S.A.I.D,"Congo, Democratic Republic of","Congo, Democratic Republic of",Health,HIV/AIDS," $190,000.00 ",190000,190000
2009,2,Disbursements,Economic Support Fund, USAID,"USAID Democracy, Conflict and Humanitarian Assistance",El Salvador,Program Management,Direct Administrative Costs," $5,100.00 ",5100,5100
2009,2,Disbursements,Assist. For N.I.S Of Former Soviet Union, USAID,Georgia,Georgia,Economic Development,Macroeconomic Foundation for Growth," $504,022.96 ",504022.96,504022.96
2011,3,Obligations,Development Assistance,usaid,"Bureau for Policy, Planning and Learning (USAID)",Worldwide,Program Management,Monitoring and Evaluation," $633,133.22 ",633133.22,633133.22
2013,3,Disbursements,Economic Support Fund,usaid,Zimbabwe,Zimbabwe,Economic Development,Agriculture," $3,414,992.79 ",3414992.79,3414992.79
2012,4,Disbursements,Development Credit Authority,usaid,South Africa,Worldwide,Program Management,Direct Administrative Costs," $5,090.52 ",5090.52,5090.52
2010,4,Obgl.,Transition Initiatives,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Venezuela,Program Management,Monitoring and Evaluation," $159,793.12 ",159793.12,159793.12
2009,1,Obligations,Special Assistance Initiatives, USAID,Macedonia,Macedonia,Economic Development,Agriculture," $(23,500.00)",-23500,-23500
2013,4,Disbursements,N/A,usaid,Honduras,Honduras,Economic Development,Agriculture," $2,595,970.44 ",2595970.44,2595970.44
2012,2,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,Honduras,Honduras,Health,Family Planning and Reproductive Health," $64,728.51 ",64728.51,64728.51
2010,1,Disbsmnt.,Child Survival and Health Programs Fund,U.S.A.I.D,India,India,Health,Family Planning and Reproductive Health," $1,485,062.40 ",1485062.4,1485062.4
2013,2,Disbursements,Economic Support Fund,usaid,Uganda,Uganda,Peace and Security,Conflict Mitigation and Reconciliation," $6,955.06 ",6955.06,6955.06
2013,2,Disbursements,N/A,usaid,Kenya,Kenya,Peace and Security,Conflict Mitigation and Reconciliation," $(381,150.05)",-381150.05,-381150.05
2010,1,Disbsmnt.,Development Assistance,usaid,Swaziland,Swaziland,"Democracy, Human Rights, and Governance",Civil Society," $2,313.26 ",2313.26,2313.26
2012,2,Disbursements,Development Assistance,usaid,Ghana,Ghana,Program Management,Direct Administrative Costs," $284,751.12 ",284751.12,284751.12
2011,1,Disbursements,Global Health & Child Survival,U.S.A.I.D,India,India,Health,HIV/AIDS," $3,623,826.78 ",3623826.78,3623826.78
2012,4,Disbursements,Development Assistance,usaid,Senegal,Senegal,Education and Social Services,Basic Education," $2,599,663.21 ",2599663.21,2599663.21
2012,2,Disbursements,Operating Expenses,usaid,Peru,Worldwide,Program Management,Direct Administrative Costs," $2,621,992.37 ",2621992.37,2621992.37
2010,4,Disbsmnt.,Child Survival and Health Programs Fund,U.S.A.I.D,Kenya,Kenya,Health,Malaria," $103,875.93 ",103875.93,103875.93
2009,1,Disbursements,Development Assistance, USAID,Dominican Republic,Dominican Republic,Economic Development,Infrastructure," $10,377.69 ",10377.69,10377.69
